,val_loss,val_sparse_categorical_accuracy,loss,sparse_categorical_accuracy
0,0.31839613129695254,0.9012500047683716,0.7041383246382078,0.7262499928474426
1,0.27246179891129335,0.9258333444595337,0.2538532321304083,0.906208336353302
2,0.3731348493571083,0.9195833206176758,0.172095022795101,0.937333345413208
3,0.37200142208486797,0.918749988079071,0.1422434339839965,0.9485833048820496
4,0.3467056191712618,0.9262499809265137,0.11064782010329266,0.9595000147819519
5,0.4479536158964038,0.9170833230018616,0.09880585187984009,0.9637083411216736
6,0.4305953029791514,0.9204166531562805,0.09415313817467541,0.965499997138977
7,0.3772718906526764,0.9316666722297668,0.08090801450237632,0.9710833430290222
8,0.3899339663113157,0.9233333468437195,0.0764817425198853,0.9714583158493042
9,0.44720913250620165,0.9304166436195374,0.06968021206295816,0.9740833044052124
10,0.43430184413989387,0.9170833230018616,0.06780926789618873,0.9754583239555359
11,0.43615544252408045,0.9375,0.06265079731765824,0.9771666526794434
